"county","year","age_group","total_pop","at_risk"
"Narok",2011,"65-69",7989,5534
"Mandera",2034,"0-4",365664,365664
"Kajiado",2012,"95+",104,85
"Garissa",2065,"25-29",257231,256950
"Turkana",2023,"95+",286,279
"Nairobi",2084,"80-84",354308,3676
"Isiolo",2094,"85-89",4538,4536
"Trans Nzoia",2064,"15-19",155306,153182
"Turkana",2099,"35-39",75068,73198
"Turkana",2037,"65-69",23591,22811
"Vihiga",2014,"45-49",22273,22273
"Tharaka-Nithi",2085,"20-24",36788,36757
"Baringo",2031,"85-89",1261,1149
"Uasin Gishu",2047,"50-54",91432,76216
"Lamu",2089,"10-14",14489,13189
"Kilifi",2054,"50-54",122016,116413
"Mandera",2044,"80-84",16277,16277
"Nyamira",2006,"65-69",4823,4823
"Kitui",2041,"75-79",11723,11723
"Homa Bay",2023,"45-49",46574,46572
"Kirinyaga",2009,"60-64",6274,6274
"Kajiado",2040,"20-24",119912,92059
"Nyandarua",2021,"10-14",91132,870
"Samburu",2052,"75-79",3957,3202
"Kwale",2087,"40-44",75235,64099
"Mombasa",2032,"5-9",207609,120262
"Nyeri",2059,"90-94",1345,989
"Kwale",2029,"90-94",509,464
"Embu",2000,"85-89",359,359
"Bomet",2004,"20-24",62736,60704
"Kakamega",2065,"30-34",267128,267128
"Kakamega",2088,"90-94",12930,12930
"Vihiga",2055,"45-49",129161,129161
"Nandi",2001,"50-54",11345,11345
"Samburu",2005,"15-19",23201,18764
"Meru",2048,"40-44",172779,162082
"Marsabit",2014,"50-54",8636,8330
"Elgeyo-Marakwet",2076,"50-54",28364,16072
"Laikipia",2052,"85-89",1935,915
"Siaya",2039,"20-24",109787,109779
"Elgeyo-Marakwet",2089,"15-19",27366,15506
"Migori",2048,"90-94",1108,1108
"Samburu",2010,"15-19",25427,20640
"Nandi",2025,"25-29",90907,90907
"Kilifi",2036,"40-44",107312,101429
"West Pokot",2074,"20-24",64957,57678
"Trans Nzoia",2085,"20-24",143258,141788
"Migori",2043,"30-34",115778,115775
"Kisii",2017,"60-64",18457,18457
"Meru",2008,"35-39",75568,69431
"Nakuru",2057,"95+",1117,780
"Bungoma",2031,"80-84",7401,7358
"Vihiga",2046,"10-14",157989,157989
"Kirinyaga",2054,"75-79",10425,10424
"Laikipia",2053,"85-89",2007,943
"Nyeri",2055,"95+",286,205
"Kwale",2023,"70-74",6403,5854
"Mandera",2048,"75-79",34258,34258
"Garissa",2023,"85-89",2271,2266
"Nakuru",2064,"50-54",254544,180995
"Mombasa",2091,"60-64",348781,203515
"Nyandarua",2004,"40-44",23155,223
"Kirinyaga",2041,"5-9",87559,87554
"Homa Bay",2064,"75-79",22038,22037
"Kericho",2006,"25-29",59458,53502
"Wajir",2014,"35-39",58662,58646
"Taita Taveta",2006,"80-84",548,548
"Elgeyo-Marakwet",2014,"70-74",2417,1372
"Kakamega",2009,"65-69",11691,11691
"Wajir",2088,"50-54",152069,152045
"Wajir",2073,"50-54",139863,139837
"Kisumu",2047,"60-64",57330,57330
"Busia",2027,"45-49",44680,44679
"Kirinyaga",2093,"10-14",66427,66426
"Kisumu",2017,"50-54",32930,32930
"Mandera",2071,"35-39",295073,295073
"Bungoma",2056,"0-4",253826,252588
"Homa Bay",2067,"20-24",110391,110384
"Nyeri",2065,"50-54",65689,49520
"Makueni",2040,"15-19",118416,118416
"Baringo",2062,"15-19",77380,70997
"Bomet",2085,"50-54",64544,62654
"Nakuru",2006,"35-39",79022,48951
"Kirinyaga",2024,"10-14",77564,77560
"Mandera",2016,"40-44",85647,85647
"Marsabit",2028,"5-9",45640,44078
"Homa Bay",2005,"10-14",112717,112710
"Homa Bay",2048,"45-49",79927,79922
"Homa Bay",2094,"50-54",71684,71681
"Meru",2099,"75-79",103918,101052
"Kisumu",2029,"40-44",79679,79678
"Uasin Gishu",2036,"45-49",87024,70642
"Kwale",2036,"30-34",82040,74344
"Vihiga",2033,"45-49",51982,51982
"Tharaka-Nithi",2025,"5-9",46734,46676
"Murang'a",2050,"30-34",103716,95102
"Narok",2022,"90-94",800,554
"Nyamira",2006,"55-59",8797,8797
"Bomet",2064,"15-19",98794,95752
"Nakuru",2072,"75-79",83461,60698
"Baringo",2036,"90-94",515,471
"Kirinyaga",2059,"30-34",73558,73555
"Taita Taveta",2085,"45-49",44420,44420
"Wajir",2003,"45-49",11073,11071
"Kwale",2066,"15-19",93502,82127
"Trans Nzoia",2001,"45-49",16202,15873
"Kisii",2072,"90-94",7659,7659
"Kwale",2092,"80-84",22126,18698
"Marsabit",2020,"20-24",32839,31688
"Nakuru",2022,"75-79",10867,6769
"Mombasa",2070,"15-19",379349,221036
"Kiambu",2041,"50-54",145354,53945
"Embu",2086,"45-49",52485,52485
"Nakuru",2034,"45-49",142628,92198
"Laikipia",2004,"75-79",1210,639
"Narok",2008,"55-59",13482,9363
"Kiambu",2016,"10-14",239118,100336
"Homa Bay",2053,"90-94",1370,1370
"Marsabit",2064,"20-24",41292,40133
"Kwale",2007,"10-14",77133,70850
"Kwale",2041,"95+",187,169
"Embu",2089,"0-4",50152,50152
"Lamu",2042,"60-64",4777,4058
"Nyandarua",2010,"90-94",181,0
"Garissa",2016,"80-84",2929,2922
"Kisii",2095,"25-29",336213,336213
"Kisumu",2082,"75-79",64648,64648
"Garissa",2058,"75-79",38002,37956
"Kirinyaga",2085,"50-54",64925,64921
"Trans Nzoia",2042,"80-84",7047,6926
"Kajiado",2085,"45-49",140968,89382
"Narok",2038,"90-94",894,625
"Murang'a",2035,"5-9",138674,126726
"Busia",2053,"5-9",120497,120497
"Kitui",2040,"40-44",86965,86965
"Isiolo",2050,"55-59",11253,11245
"Migori",2072,"50-54",87307,87305
"Marsabit",2056,"15-19",44244,42927
"Nyeri",2097,"50-54",68890,57379
"Kakamega",2064,"5-9",278418,278418
"Kiambu",2088,"70-74",241302,73329
"Isiolo",2026,"70-74",1560,1557
"Turkana",2100,"45-49",71728,69960
"Kirinyaga",2084,"25-29",72860,72856
"Busia",2051,"50-54",62849,62847
"Baringo",2087,"75-79",21839,20197
"West Pokot",2015,"50-54",17606,15430
"Elgeyo-Marakwet",2098,"75-79",10458,5921
"West Pokot",2073,"50-54",49918,44301
"Narok",2082,"70-74",42179,29341
"Mombasa",2042,"95+",443,258
"Isiolo",2093,"75-79",11206,11202
"Samburu",2068,"50-54",19432,15726
"Kisumu",2026,"40-44",72111,72111
"Lamu",2003,"90-94",15,12
"Homa Bay",2013,"55-59",17804,17802
"Nyamira",2046,"65-69",22986,22986
"Taita Taveta",2073,"65-69",25268,25268
"Narok",2048,"60-64",47108,32773
"Bomet",2010,"70-74",4458,4312
"Garissa",2086,"70-74",134127,134030
"Mandera",2080,"90-94",10541,10541
"Kwale",2082,"85-89",8182,7026
"Tharaka-Nithi",2049,"5-9",48351,48296
"Nakuru",2023,"75-79",11284,7054
"Mombasa",2045,"85-89",5948,3454
"Garissa",2097,"30-34",272056,271899
"Tharaka-Nithi",2068,"40-44",36263,36228
"Kilifi",2081,"20-24",199926,193616
"Kisii",2062,"95+",1199,1199
"Tana River",2067,"20-24",32891,32487
"Taita Taveta",2015,"35-39",19539,19539
"Taita Taveta",2049,"50-54",25642,25642
"Kilifi",2065,"55-59",136227,130774
"Nyamira",2068,"10-14",108333,108333
"Turkana",2003,"45-49",18554,17921
"Wajir",2017,"70-74",8662,8658
"Makueni",2080,"70-74",35069,35069
"Tana River",2080,"5-9",25649,25334
"Bungoma",2074,"0-4",218722,217819
"Kitui",2005,"90-94",228,228
"Busia",2021,"25-29",76389,76388
"Kisumu",2086,"95+",2461,2461
"Siaya",2041,"45-49",61103,61098
"Nandi",2024,"55-59",26860,26860
"Wajir",2019,"50-54",45220,45209
"Garissa",2020,"80-84",4168,4161
"Elgeyo-Marakwet",2000,"35-39",12435,7079
"Makueni",2071,"30-34",85883,85883
"Uasin Gishu",2001,"55-59",10507,8223
"Makueni",2025,"5-9",131534,131534
"Marsabit",2094,"10-14",30662,30024
"Tharaka-Nithi",2050,"10-14",48162,48107
"Baringo",2078,"65-69",35519,32739
"Nyandarua",2095,"60-64",41383,293
"Narok",2017,"15-19",126733,88295
"Nandi",2070,"0-4",95110,95109
"Kakamega",2077,"90-94",8724,8724
"Marsabit",2031,"0-4",50169,48473
"Kilifi",2072,"20-24",202166,194839
"Narok",2023,"50-54",41441,28833
"Mandera",2083,"25-29",286691,286691
"Nyandarua",2064,"15-19",74202,634
"Narok",2085,"80-84",18989,13207
"Embu",2014,"10-14",78124,78124
"Bomet",2034,"65-69",18566,17973
"Kisii",2022,"95+",403,403
"Kilifi",2001,"95+",0,0
"Narok",2090,"85-89",10487,7294
"Murang'a",2069,"35-39",98179,90578
"Nyamira",2014,"65-69",6118,6118
"Kakamega",2066,"80-84",33095,33095
"Bungoma",2058,"50-54",163884,163095
"Homa Bay",2068,"20-24",109055,109049
"Turkana",2085,"40-44",88228,85802
"Kisumu",2052,"55-59",79689,79688
"Nyamira",2030,"60-64",17637,17637
"Kirinyaga",2068,"45-49",61078,61077
"Meru",2074,"0-4",229346,219400
"Garissa",2064,"75-79",49421,49365
"Siaya",2085,"5-9",74273,74268
"Nandi",2065,"35-39",92850,92849
"Kajiado",2044,"55-59",52483,39626
"Siaya",2008,"40-44",35591,35588
"Garissa",2009,"40-44",26339,26285
"Baringo",2080,"25-29",60250,55575
"Samburu",2085,"40-44",19084,15441
"Taita Taveta",2073,"55-59",33653,33653
"Elgeyo-Marakwet",2085,"80-84",7061,4001
"Murang'a",2096,"25-29",72166,67443
"Kwale",2062,"70-74",25552,22559
"Kitui",2049,"70-74",23736,23736
"Homa Bay",2061,"90-94",1826,1825
"Elgeyo-Marakwet",2097,"60-64",19700,11164
"Garissa",2098,"45-49",262306,262160
"Nyandarua",2085,"25-29",57740,435
"Kilifi",2021,"55-59",34498,32396
"Nakuru",2043,"60-64",91865,61159
"Meru",2010,"95+",41,34
"Laikipia",2046,"75-79",6154,2973
"Wajir",2016,"40-44",56015,55999
"Uasin Gishu",2076,"20-24",198551,177038
"Wajir",2067,"70-74",56823,56809
"Mandera",2023,"45-49",105546,105546
"Mandera",2098,"0-4",238693,238693
"Nyamira",2070,"65-69",49686,49686
"Nyamira",2094,"85-89",17754,17754
"Kitui",2018,"85-89",1751,1751
"Vihiga",2013,"50-54",15633,15633
"Isiolo",2046,"25-29",22844,22826
"Lamu",2012,"85-89",119,98
"Tana River",2030,"40-44",23387,23100
"Taita Taveta",2023,"10-14",48172,48172
"Bomet",2014,"65-69",7921,7661
"Makueni",2082,"10-14",70421,70421
"Kiambu",2001,"60-64",17512,7624
"Nakuru",2037,"60-64",72030,47019
"Bungoma",2044,"65-69",52635,52356
"Mandera",2040,"0-4",363749,363749
"Samburu",2059,"30-34",28057,22707
"Kirinyaga",2043,"60-64",22806,22805
"Busia",2042,"10-14",124768,124767
"Wajir",2080,"90-94",6385,6383
"Meru",2033,"35-39",130290,120909
"Nyandarua",2091,"35-39",52335,380
"Baringo",2071,"20-24",68498,62997
"Vihiga",2039,"75-79",9551,9551
"Laikipia",2095,"35-39",39979,14120
"Garissa",2040,"35-39",160110,159845
"Wajir",2078,"65-69",101676,101657
"Mombasa",2066,"60-64",195592,113924
"Siaya",2041,"25-29",105505,105496
"Busia",2088,"80-84",24708,24708
"Mombasa",2052,"40-44",236970,137794
"Nyeri",2006,"85-89",566,383
"Murang'a",2066,"60-64",57650,53129
"Elgeyo-Marakwet",2020,"50-54",14207,8047
"Trans Nzoia",2080,"90-94",5284,5228
"Laikipia",2081,"60-64",31105,12416
"Taita Taveta",2076,"25-29",48084,48084
"Kakamega",2027,"85-89",2894,2894
"Bomet",2060,"40-44",81617,79087
"Isiolo",2047,"25-29",22964,22948
"Wajir",2098,"95+",3526,3525
"Nairobi",2039,"35-39",603124,9870
"Kajiado",2025,"5-9",120052,97583
"Nyeri",2026,"15-19",95206,64999
"Siaya",2075,"35-39",86743,86738
"Nakuru",2021,"15-19",251906,156485
"Meru",2065,"45-49",180728,171740
"Kilifi",2049,"40-44",157018,149404
"West Pokot",2045,"10-14",92297,81145
"Siaya",2028,"45-49",48321,48316
"Mombasa",2084,"50-54",380661,222030
"Kilifi",2053,"75-79",25598,24402
"Nyeri",2069,"35-39",85030,64890
"Mandera",2073,"50-54",228715,228715
"Nakuru",2033,"60-64",62232,40103
"Nandi",2087,"40-44",72019,72019
"Elgeyo-Marakwet",2021,"10-14",60242,34135
"Kericho",2058,"25-29",127256,116650
"Busia",2082,"60-64",65134,65134
"Taita Taveta",2091,"0-4",42780,42780
"Meru",2085,"50-54",206770,199330
"Makueni",2064,"5-9",98548,98548
"Trans Nzoia",2015,"70-74",6352,6215
"Nakuru",2054,"10-14",354310,244362
"Uasin Gishu",2064,"60-64",99975,86801
"Migori",2014,"65-69",8965,8965
"Elgeyo-Marakwet",2026,"85-89",708,402
"Samburu",2028,"65-69",4495,3639
"Bungoma",2021,"40-44",98614,98031
"Garissa",2050,"15-19",246040,245691
"Nakuru",2027,"5-9",294713,186344
"Kericho",2067,"95+",648,597
"Nakuru",2027,"75-79",12985,8208
"Homa Bay",2034,"55-59",38610,38606
"Kitui",2027,"80-84",3837,3837
"Narok",2012,"60-64",12166,8415
"Kajiado",2069,"70-74",46485,31493
"Marsabit",2048,"70-74",7232,7003
"Samburu",2018,"50-54",8520,6896
"Bungoma",2100,"90-94",15673,15628
"Kericho",2049,"95+",303,274
"Garissa",2089,"60-64",203777,203638
"Homa Bay",2049,"30-34",109560,109553
"Tharaka-Nithi",2026,"60-64",7455,7446
"Kilifi",2039,"40-44",115034,108885
"Embu",2052,"95+",191,191
"Tana River",2071,"20-24",30784,30407
"Kiambu",2089,"60-64",359168,108816
"Kajiado",2029,"35-39",69705,55858
"Migori",2051,"20-24",129112,129109
"Kericho",2067,"85-89",7162,6605
"Lamu",2092,"30-34",14821,13557
"Nyandarua",2059,"55-59",42606,371
"Samburu",2096,"75-79",6914,5594
"Makueni",2080,"50-54",62571,62571
"Marsabit",2033,"95+",59,56
"Migori",2068,"50-54",87084,87082
"Tana River",2008,"95+",1,1
"Nyandarua",2011,"50-54",15581,167
"Tharaka-Nithi",2061,"80-84",4238,4234
"Tana River",2080,"65-69",14979,14795
"Embu",2002,"40-44",19121,19121
"Wajir",2067,"90-94",3815,3815
"Tana River",2073,"55-59",20506,20255
"Isiolo",2067,"35-39",25392,25377
"Kisumu",2006,"30-34",64574,64574
"Narok",2097,"75-79",28166,19595
"Trans Nzoia",2017,"95+",317,309
"Trans Nzoia",2042,"95+",285,277
"West Pokot",2034,"95+",146,126
"Busia",2033,"90-94",622,622
"Tana River",2012,"40-44",13687,13461
"Nakuru",2078,"20-24",358692,265048
"West Pokot",2100,"35-39",43727,39411
"Isiolo",2098,"40-44",26140,26133
"Migori",2026,"65-69",14379,14378
"Migori",2068,"45-49",94402,94399
"Nairobi",2067,"85-89",78648,936
"Kirinyaga",2004,"80-84",1024,1024
"Wajir",2038,"70-74",24385,24379
"Tana River",2043,"25-29",37563,37102
"Migori",2028,"35-39",75475,75472
"Tana River",2019,"35-39",21776,21502
"Tharaka-Nithi",2000,"0-4",45909,45835
"Kericho",2072,"10-14",119960,111044
"Nyandarua",2095,"0-4",46174,325
"Elgeyo-Marakwet",2028,"80-84",1536,870
"Tharaka-Nithi",2021,"90-94",229,229
"Kisumu",2040,"45-49",85478,85478
"Busia",2016,"70-74",5641,5641
"Baringo",2067,"35-39",67482,61993
"Busia",2065,"40-44",91501,91501
"Kericho",2067,"75-79",25802,23801
"Kirinyaga",2039,"15-19",76459,76456
"Kericho",2034,"20-24",128022,115814
"Kirinyaga",2034,"60-64",16694,16693
"Migori",2087,"0-4",98137,98136
"Makueni",2051,"75-79",13112,13112
"Nyandarua",2057,"90-94",1030,9
"Bungoma",2058,"65-69",79370,78990
"Wajir",2067,"10-14",194264,194225
"West Pokot",2059,"50-54",53909,47585
"Meru",2086,"50-54",208178,200821
"Trans Nzoia",2073,"65-69",77325,76374
"Machakos",2060,"90-94",2569,2569
"Kisumu",2093,"55-59",164287,164287
"Murang'a",2033,"65-69",18968,17326
"Mandera",2028,"0-4",350357,350357
"Kilifi",2000,"10-14",124504,117067
"Makueni",2068,"60-64",52702,52702
"Nandi",2078,"20-24",85915,85915
"Turkana",2001,"95+",0,0
"Taita Taveta",2042,"75-79",4201,4201
"Nyamira",2015,"10-14",85440,85440
"Kakamega",2069,"75-79",59858,59858
"Mandera",2065,"70-74",88492,88492
"Uasin Gishu",2053,"95+",512,428
"Uasin Gishu",2078,"65-69",112899,101087
"Tana River",2049,"60-64",14172,13998
"Makueni",2082,"25-29",71279,71279
"Kitui",2060,"65-69",43119,43119
"Nakuru",2015,"85-89",2492,1535
"Samburu",2040,"30-34",31125,25188
"Kericho",2006,"85-89",611,547
"Nandi",2044,"95+",246,246
"Trans Nzoia",2075,"25-29",147539,145786
"West Pokot",2016,"75-79",2862,2507
"Nyeri",2017,"75-79",3230,2187
"Wajir",2029,"65-69",25765,25757
"Kirinyaga",2062,"30-34",75486,75483
"Kisii",2043,"65-69",47231,47231
"Wajir",2037,"80-84",7405,7405
"Wajir",2059,"30-34",184766,184725
"Busia",2037,"95+",190,190
"Turkana",2066,"65-69",46372,44967
"Wajir",2026,"25-29",149445,149405
"Siaya",2040,"20-24",109563,109552
"Kisii",2001,"45-49",25039,25039
"West Pokot",2016,"90-94",370,322
"Embu",2014,"0-4",94431,94431
"Migori",2094,"80-84",29730,29730
"Kwale",2083,"20-24",81284,69690
"Machakos",2060,"45-49",130162,130162
"Elgeyo-Marakwet",2018,"90-94",270,153
"Nyamira",2057,"55-59",54604,54604
"Machakos",2083,"0-4",150489,150489
"Kajiado",2026,"50-54",34183,27687
"Tharaka-Nithi",2050,"40-44",35862,35823
"Uasin Gishu",2088,"10-14",189986,173465
"Mandera",2066,"30-34",306790,306790
"Kakamega",2025,"35-39",127264,127264
"Kisumu",2002,"90-94",171,171
"Kwale",2004,"0-4",97160,89025
"West Pokot",2031,"60-64",17604,15431
"Trans Nzoia",2009,"60-64",9769,9559
"Kisumu",2035,"25-29",148416,148416
"Makueni",2085,"55-59",54525,54525
"Garissa",2044,"40-44",152305,152067
"Murang'a",2063,"0-4",112035,103137
"Siaya",2011,"55-59",13808,13808
"Tharaka-Nithi",2056,"45-49",33900,33863
"Meru",2073,"55-59",161082,153983
"Nakuru",2015,"60-64",24263,15005
"Baringo",2010,"5-9",82575,75191
"Isiolo",2062,"20-24",27413,27396
"Kajiado",2096,"65-69",106750,64974
"Narok",2001,"45-49",17733,12414
"Nyeri",2003,"60-64",7049,4792
"Uasin Gishu",2021,"45-49",52061,40891
"Isiolo",2063,"50-54",19681,19668
"Kajiado",2042,"55-59",48884,37217
"Migori",2088,"60-64",76446,76446
"Kakamega",2049,"15-19",272129,272129
"Elgeyo-Marakwet",2017,"45-49",16236,9205
"Kisumu",2015,"55-59",21475,21475
"Kakamega",2095,"0-4",247630,247630
"Narok",2079,"10-14",90693,63084
"Samburu",2021,"95+",97,76
"Laikipia",2081,"10-14",46677,18629
"Kisumu",2019,"85-89",1787,1787
"Wajir",2047,"95+",427,427
"Nairobi",2007,"40-44",125815,2826
"Meru",2045,"55-59",91026,85201
"Tana River",2064,"75-79",6644,6563
"Vihiga",2048,"70-74",25157,25157
"Uasin Gishu",2007,"25-29",75159,59010
"Meru",2049,"75-79",25054,23523
"Machakos",2042,"5-9",189173,189173
"Murang'a",2098,"10-14",67058,62740
"Makueni",2045,"30-34",101360,101360
"Machakos",2086,"60-64",111484,111484
"Busia",2086,"20-24",94878,94877
"Machakos",2038,"65-69",29676,29676
"Mandera",2096,"55-59",238062,238062
"Wajir",2030,"25-29",167663,167618
"Garissa",2022,"0-4",197735,197329
"Kwale",2096,"45-49",68875,57831
"Uasin Gishu",2041,"35-39",137885,113278
"Kisii",2082,"60-64",215011,215011
"Garissa",2046,"85-89",5513,5506
"Marsabit",2061,"25-29",41713,40510
"Migori",2081,"85-89",10591,10591
"Uasin Gishu",2026,"5-9",171421,136024
"Bungoma",2004,"45-49",40244,40045
"Busia",2039,"60-64",29298,29298
"Kiambu",2014,"20-24",176451,74400
"Nakuru",2083,"20-24",359461,268891
"Kiambu",2079,"0-4",438547,137162
"Murang'a",2067,"80-84",13284,12244
"Uasin Gishu",2062,"10-14",200158,172975
"Vihiga",2092,"90-94",14304,14304
"Murang'a",2079,"0-4",87665,81218
"Mombasa",2041,"35-39",180247,104618
"Homa Bay",2055,"0-4",128236,128228
"Isiolo",2080,"5-9",26388,26376
"Machakos",2014,"75-79",5112,5112
"Narok",2086,"75-79",31370,21827
"Busia",2013,"55-59",14414,14414
"Tana River",2043,"95+",79,77
"Murang'a",2013,"5-9",145324,132438
"Marsabit",2053,"50-54",25023,24259
"Bungoma",2020,"15-19",217062,215774
"Kericho",2041,"30-34",118920,107939
"Lamu",2051,"20-24",17234,14812
"Taita Taveta",2075,"75-79",12680,12680
"Kwale",2075,"35-39",84622,73416
"Kilifi",2038,"15-19",188057,177916
"Wajir",2042,"25-29",184009,183965
"Makueni",2020,"55-59",23526,23526
"Kericho",2002,"85-89",489,438
"Machakos",2048,"35-39",145495,145495
"Murang'a",2031,"60-64",25173,22987
"Siaya",2046,"60-64",36858,36853
"Tharaka-Nithi",2019,"45-49",13858,13842
"Kilifi",2063,"65-69",74050,71011
"Trans Nzoia",2089,"30-34",140506,139152
"Kitui",2087,"60-64",66894,66894
"Mombasa",2045,"0-4",281404,163452
"Kiambu",2007,"20-24",169697,72774
"Makueni",2094,"0-4",51587,51587
"Vihiga",2014,"90-94",295,295
"Kericho",2087,"30-34",104691,98050
"Busia",2100,"65-69",65075,65075
"West Pokot",2093,"0-4",45407,40737
"Murang'a",2028,"90-94",635,583
"Migori",2079,"60-64",71680,71679
"Murang'a",2075,"20-24",95873,88669
"Meru",2099,"30-34",222245,216118
"Siaya",2035,"85-89",1963,1963
"Kiambu",2055,"90-94",4585,1580
"Murang'a",2059,"95+",411,378
"Lamu",2100,"65-69",10827,10012
"Elgeyo-Marakwet",2016,"60-64",5555,3148
"Makueni",2067,"15-19",92987,92987
"Nairobi",2002,"55-59",36368,877
"Taita Taveta",2004,"75-79",953,953
"Marsabit",2078,"80-84",6420,6259
"Isiolo",2077,"30-34",26701,26686
"Tana River",2020,"55-59",8361,8256
"Machakos",2099,"20-24",142428,142428
"Mandera",2081,"45-49",269725,269725
"Turkana",2081,"90-94",3630,3526
"Trans Nzoia",2010,"55-59",13191,12918
"Kericho",2098,"85-89",17982,16986
"Mombasa",2099,"85-89",88299,51543
"Migori",2034,"40-44",71498,71496
"Migori",2043,"40-44",86621,86619
"Mandera",2032,"50-54",111460,111460
"Bungoma",2081,"60-64",140522,139983
"Nakuru",2095,"80-84",108061,82958
"Kwale",2017,"30-34",57287,52474
"Nyeri",2044,"90-94",678,482
"Vihiga",2099,"35-39",255423,255423
"Narok",2000,"75-79",2542,1769
"Kisumu",2039,"50-54",72296,72296
"Nyamira",2021,"70-74",5463,5463
"Nairobi",2068,"15-19",1371200,16117
"Kitui",2021,"10-14",155213,155213
"Siaya",2003,"65-69",6738,6738
"Kiambu",2063,"15-19",416182,138611
"Busia",2081,"35-39",96036,96035
"Garissa",2007,"5-9",74342,74187
"Turkana",2010,"10-14",108473,105049
"Laikipia",2014,"50-54",11852,6204
"Homa Bay",2013,"85-89",1153,1153
"Migori",2082,"75-79",37478,37477
"Uasin Gishu",2052,"55-59",85631,72251
"Narok",2087,"95+",1077,744
"Kajiado",2087,"35-39",145937,91818
"Marsabit",2053,"25-29",40680,39442
"Mandera",2093,"80-84",81123,81123
"Kericho",2040,"10-14",141544,128412
"Turkana",2063,"40-44",97176,94204
"Kilifi",2020,"75-79",6627,6222
"Kwale",2070,"0-4",89802,78464
"Taita Taveta",2070,"40-44",44121,44121
"Meru",2022,"55-59",39837,36721
"Wajir",2082,"50-54",150716,150688
"Mandera",2082,"55-59",222169,222169
"Kwale",2073,"15-19",88808,77273
"Vihiga",2070,"10-14",211493,211493
"Uasin Gishu",2022,"15-19",152157,119745
"Nyandarua",2003,"55-59",8477,85
"Kirinyaga",2091,"70-74",37072,37070
"Kajiado",2019,"5-9",118689,98057
"Busia",2041,"0-4",131548,131548
"Kilifi",2087,"70-74",98020,95224
"Baringo",2051,"20-24",83546,76471
"Tharaka-Nithi",2030,"25-29",37324,37278
"Kisumu",2075,"20-24",186792,186791
"Kericho",2066,"15-19",124473,114716
"Elgeyo-Marakwet",2015,"55-59",7827,4448
"West Pokot",2003,"75-79",1631,1435
"Laikipia",2077,"35-39",48158,19796
"Kiambu",2024,"70-74",16104,6558
"Turkana",2049,"60-64",46563,45075
"Meru",2069,"65-69",105366,100425
"Tana River",2013,"20-24",30104,29645
"Nyamira",2082,"20-24",106802,106802
"Nairobi",2045,"15-19",968771,14633
"Nyamira",2038,"5-9",107277,107277
"Nyamira",2039,"10-14",102156,102156
"Migori",2097,"0-4",87597,87594
"Machakos",2098,"35-39",147535,147535
"Bungoma",2028,"45-49",97934,97368
"Kwale",2088,"85-89",10103,8594
"West Pokot",2023,"35-39",48693,42633
"Taita Taveta",2061,"10-14",51174,51174
"Kakamega",2030,"15-19",229321,229321
"Uasin Gishu",2047,"45-49",112690,93940
"Narok",2013,"80-84",2581,1788
"Kiambu",2071,"95+",2721,880
"Homa Bay",2046,"30-34",111569,111561
"Machakos",2060,"5-9",175578,175578
"Bomet",2032,"60-64",24617,23828
"Kilifi",2057,"10-14",210777,201439
"Bomet",2032,"40-44",65362,63265
"Nyandarua",2004,"75-79",2180,22
"Kisii",2049,"10-14",266599,266599
"Trans Nzoia",2057,"25-29",151982,149734
"Tharaka-Nithi",2000,"75-79",995,995
"Kisumu",2074,"25-29",185408,185408
